author_name,3gram1,3gram2,3gram3
Jeremy Philipson,chore add remove,add remove item,remove item functionality
Jaz Singh,add residuals prop,residuals prop upgrade,prop upgrade babel
CJXDBot,choredeps bump httpsgithubcomcbkubecdbddsbhg1577839614git,bump httpsgithubcomcbkubecdbddsbhg1577839614git command,httpsgithubcomcbkubecdbddsbhg1577839614git command run
cjxd-bot-test,merge pull request,pull request 2,request 2 from
Paul home desktop,merge branch master,branch master of,master of githubcomjpmatternbayesiancbiomes
aaiden Nicolas Witten,automatically backed up,backed up by,up by learn
John Leider,feat add material,add material presets,material presets 143
Web-Media,revert get single,get single route,single route this
Jim Wu,mlgmxyysd github update,github update bot,update bot 1577839807
Zachary Jacobs,automatically backed up,backed up by,up by learn
ericberman,svn 6899 allow,6899 allow for,allow for null
trimstray,add bed signedoffby,bed signedoffby trimstray,signedoffby trimstray trimstraygmailcom
xiongbingji,merge branch master,branch master of,master of httpsgithubcomw190601jdev3
Ri Xin Yang,automatically backed up,backed up by,up by learn
p進大好きbot,update and rename,and rename 00000000imoutogure,rename 00000000imoutogure to
Hubert Maraszek,build and compile,and compile currently,compile currently nonsensical
Jeremy Moore,new capture directory,capture directory can,directory can create
Lyrana Hughes,changed psegarr to,psegarr to sapdict,to sapdict psa
Lyrana Hughes,dev branch commit,branch commit after,commit after many
Tony Arcieri (iqlusion),merge pull request,pull request 318,request 318 from
Jose24San,updated the way,the way history,way history tab
Jose Sanchez,merge pull request,pull request 32,request 32 from
Renovate Bot,update dependency orgapachemavenpluginsmavenjavadocplugin,dependency orgapachemavenpluginsmavenjavadocplugin to,orgapachemavenpluginsmavenjavadocplugin to v2104
Ri Xin Yang,automatically backed up,backed up by,up by learn
tmaul,small tweak to,tweak to enable,to enable software
tmaul,might as well,as well put,well put the
Renovate Bot,choredeps update nodejs,update nodejs to,nodejs to v8170
Bitnami Containers,externaldns component image,component image updated,image updated to
Paul O'Shea,checking if parallax,if parallax fixed,parallax fixed on
A-ee,im sorry but,sorry but input,but input from
Nintendroid1,assigned values to,values to fields,to fields in
Sergey at ssb,started renaming for,renaming for figures,for figures code
meissadia,set print styles,print styles to,styles to full
Wyatt Pearsall,merge pull request,pull request 99,request 99 from
Caleb Roseland,upgrade ts374 and,ts374 and add,and add and
Caleb Roseland,chore git ignore,git ignore testcoverage,ignore testcoverage results
Caleb Roseland,refactor youtube utils,youtube utils and,utils and increase
edoapra,restrict np for,np for some,for some qas
orange451,potentially sped up,sped up parent,up parent changing
Andrew Zaruba,jumping implementation has,implementation has begun,has begun this
Andreas Möller,merge pull request,pull request 62,request 62 from
OPSTestProduction,delete file xrefprodxrefmaptestbranchmasteryml,file xrefprodxrefmaptestbranchmasteryml at,xrefprodxrefmaptestbranchmasteryml at 20200101
Renovate Bot,update dependency orgapachemavenpluginsmavenjavadocplugin,dependency orgapachemavenpluginsmavenjavadocplugin to,orgapachemavenpluginsmavenjavadocplugin to v3
Ryo Ota,update update vuecliooo,update vuecliooo from,vuecliooo from 411
dependabot-preview[bot],bump vueasynccomputed from,vueasynccomputed from 370,from 370 to
jton307,set up session,up session flash,session flash message
Brokalys bot,monthly data land,data land sell,land sell riga
George Liu,add optional feature,optional feature policy,feature policy header
George Liu,revise nginx php,nginx php default,php default buffers
George Liu,update old etcinitdphpfpm,old etcinitdphpfpm references,etcinitdphpfpm references in
George Liu,remove old fixphpfpmincludes,old fixphpfpmincludes routine,fixphpfpmincludes routine in
George Liu,revise php extension,php extension routines,extension routines for
George Liu,fix centos 6,centos 6 php,6 php 73
George Liu,nginx 1177 default,1177 default in,default in 12309beta01
George Liu,centos 6 nginx,6 nginx routine,nginx routine update
George Liu,nginx http2 hpack,http2 hpack dynamtic,hpack dynamtic tls
George Liu,ensure all tools,all tools directory,tools directory scripts
George Liu,revise phpfpm default,phpfpm default buffers,default buffers in
NewsTools,created text for,text for url,for url wwwnanngentertainmentobamanamesburnaboyremaonlistoffavoritemusic
wigforss,mavenreleaseplugin prepare for,prepare for next,for next development
Mike Lindner,stretch octave noise,octave noise range,noise range because
NewsTools,created text for,text for url,for url newsvergecom20191231ugandadeportssafricanmusiciconaheadofendofyearperformance
NewsTools,created text for,text for url,for url wwwnanngnewsnigeriadiasporapolicyunderwaydabirierewa
aaiden Nicolas Witten,automatically backed up,backed up by,up by learn
Jeff Schomay,now setlink can,setlink can lookup,can lookup a
Jeff Schomay,add parser for,parser for set,for set link
Jeff Schomay,allow in stat,in stat and,stat and link
Raul Ovalle,fix expected indentation,expected indentation of,indentation of 16
gahgsp,added thrust sound,thrust sound effect,sound effect and
Renovate Bot,update babel monorepo,babel monorepo to,monorepo to 774
Renovate Bot,update dependency sizelimitpresetsmalllib,dependency sizelimitpresetsmalllib to,sizelimitpresetsmalllib to 221
Andrea Carraro,fix evaluate svg,evaluate svg cy,svg cy value
Andrea Carraro,replace prepublish npm,prepublish npm script,npm script with
Renovate Bot,update update storybook,update storybook monorepo,storybook monorepo packages
Kirill Shcherbina,automatically backed up,backed up by,up by learn
NewsTools,created text for,text for url,for url naijanewsagencycommancriesoutasherevealswhathappenedtothenewiphone11heboughtforn17k
Rohit Garudadri,fixed login button,login button flashing,button flashing 780
NewsTools,created text for,text for url,for url wwwnanngnewsxihailschinasachievementsindifficultyear
NewsTools,created text for,text for url,for url naijanewsagencycomburnaboyremamakeobamasfavoritemusicof2019list
duncan ralph,add 4km and,4km and 12km,and 12km snow
duncan ralph,merge branch master,branch master of,master of githubcompsathyrellaweatherscraper
rtrouton,merge pull request,pull request 60,request 60 from
Brian Larsen,correct order of,order of dependencies,of dependencies for
Melanie McGlynn,automatically backed up,backed up by,up by learn
JWulf7,am able to,able to populate,to populate employee
Prahar Patel,updated readme with,readme with sample,with sample terminal
NewsTools,created text for,text for url,for url naijanewsagencycomlampardchelseamustgetrecruitmentrighttocompetewithliverpool
dependabot[bot],bump handlebars from,handlebars from 412,from 412 to
Ryan Johnson,merge pull request,pull request 1,request 1 from
NewsTools,created text for,text for url,for url newsvergecom20191231allegedn63bnfraudjanghascasetoanswerjudge
Rick Neff,rename files for,files for w20,for w20 semester
mpl,closenotifier return pointer,return pointer instead,pointer instead of
Ludovic Fernandez,improve documentation about,documentation about traefik,about traefik build
Manuel Zapf,add migration guide,migration guide for,guide for traefik
Damien Duportal,add a documentation,a documentation example,documentation example for
Ludovic Fernandez,use consistent name,consistent name in,name in acme
Kenneth Peiruza,added externalname https,externalname https support,https support for
Ludovic Fernandez,doc remove section,remove section about,section about templates
Dmitry Sharshakov,dont set useragent,set useragent to,useragent to gohttpclient11
Manuel Zapf,query consul for,consul for service,for service health
Tiago Boeing,fix command for,command for use,for use websecure
NewsTools,created text for,text for url,for url naijanewsagencycomarsenalbossartetaadmitsheistryingtobuildteamaroundozil
Saeid Amiri,able to find,to find obj,find obj but
NewsTools,created text for,text for url,for url newsvergecom20191231fctpolicearrest985suspectsin2019
Arthur Lisek-Koper,add buttons to,buttons to send,to send random
Andres,added travis and,travis and added,and added encrypted
Luiz Gustavo,ajustar consultas jpql,consultas jpql paginadas,jpql paginadas e
Kirill Shcherbina,automatically backed up,backed up by,up by learn
NewsTools,created text for,text for url,for url wwwnanngnewsnewyearweremaincommittedtostrongerdeltaokowa
Renovate Bot,update dependency awssdk,dependency awssdk to,awssdk to v25960
gioryanreyes,added mobile padding,mobile padding for,padding for better
Kirill Shcherbina,automatically backed up,backed up by,up by learn
aqi-moscun,update file at,file at 20200101,at 20200101 005046
Joe Garcia,fix 83 split,83 split domain,split domain local
GAierken,added museum id,museum id user,id user id
Omar Dario,ahora si subo,si subo las,subo las imagenes
dependabot[bot],bump mongoose from,mongoose from 571,from 571 to
deidra,update still working,still working on,working on getting
Vemahk,menu rework menus,rework menus are,menus are now
Joe Duffy,add a 2019,a 2019 year,2019 year in
OPSTestProduction,delete file e2edocsbranchproddynamicindexyml,file e2edocsbranchproddynamicindexyml at,e2edocsbranchproddynamicindexyml at 20200101
Tim Harper,update integration test,integration test to,test to use
hrsh38,merge branch master,branch master of,master of httpsgithubcomhrsh38hrsh38githubio
Harsh Patel,revert fixed this,fixed this reverts,this reverts commit
Hector Ricardo Mendez Sordia,adding more fields,more fields to,fields to packagejson
Calvin Weng,update community section,community section and,section and other
zhouqiang,merge branch master,branch master into,master into bumpversion
abalabahaha,create tostring functions,tostring functions for,functions for remaining
Sahar Hagbi,added user controller,user controller dao,controller dao and
Markus Schirp,merge pull request,pull request 134,request 134 from
sangchi,revert update renamescriptedeffectstxt,update renamescriptedeffectstxt this,renamescriptedeffectstxt this reverts
Rohit Garudadri,fixed login button,login button flashing,button flashing 780
Loreina Chew,merge branch develop,branch develop into,develop into feature202showactivepageonnavbar
Arthur Lisek-Koper,add buttons to,buttons to send,to send random
Arthur Lisek-Koper,merge branch master,branch master into,master into multimessagesupport
NewsTools,created text for,text for url,for url naijanewsagencycommanunitedfearscottmctominaycouldface8weeksonsidelinesmail
"Nathan Alden, Sr",fixed contextflag bug,contextflag bug in,bug in dispose
NewsTools,created text for,text for url,for url newsvergecom20191231ukusconsiderednigerianavalblockadeoversarowiwaexecution
Benjamin Lehmann,config file for,file for api,for api key
Micha Ober,add real suggestion,real suggestion to,suggestion to optionmapunwrapor
bors,auto merge of,merge of 4967,of 4967 johntitorupdatetest
bors,auto merge of,merge of 4972,of 4972 johntitorrustup
Krishna Veera Reddy,fix replaceconsts lint,replaceconsts lint documentation,lint documentation replaceconsts
bors,auto merge of,merge of 4634,of 4634 moberfeature2320mapor
bors,auto merge of,merge of 4970,of 4970 krishnaveerareddyfixreplaceconstsdocumentation
Yuki Okushi,ignore rls integration,rls integration test,integration test for
bors,auto merge of,merge of 4973,of 4973 johntitorrustup1231
bors,auto merge of,merge of 4976,of 4976 johntitorintegration
hehaowen00,run sliderfill only,sliderfill only on,only on webkit
hehaowen00,reduce scope access,scope access of,access of sliderfill
clairedavies,update info for,info for sti,for sti using
Bharathwaj Sankara,controller scheduler kubelet,scheduler kubelet and,kubelet and proxy
Na Hyung Choi,move blog post,blog post alert,post alert to
NewsTools,created text for,text for url,for url wwwnanngheadlinesnigerianarmyreconstructsbamabarrackestablishesaviationbasestation
NewsTools,created text for,text for url,for url naijanewsagencycomvideozlatanibilewowsthecrowdatmarlianfest
root,removed files managed,files managed by,managed by codegen
Peter Eisentraut,modernize python exception,python exception syntax,exception syntax in
Commitfest Bot,cf 262263 seccompbpf,262263 seccompbpf support,seccompbpf support this
NewsTools,created text for,text for url,for url newsvergecom20191231babangidaurgesnorthernerstouniteintacklingregionschallenges
CrazyJ36,toshiba rename installlisttoshibatxt,rename installlisttoshibatxt for,installlisttoshibatxt for uniform
Kailana Kahawaii,automatically backed up,backed up by,up by learn
Mihai Codoban,log global properties,global properties in,properties in cache
NewsTools,created text for,text for url,for url wwwnanngfeaturetheimperativeofestablishingnationalcommissiononpersonswithdisabilities
NewsTools,created text for,text for url,for url naijanewsagencycompoliceparadesmpaperobberysuspects
NewsTools,created text for,text for url,for url newsvergecom20191231nigeriaboursegains087onlasttradingdayof2019
Bob Carr,last update 1951,update 1951 on,1951 on 31dec2019
NewsTools,created text for,text for url,for url naijanewsagencycom11bnmalabufraudwhyexagfadokedoesntdeservebaile28095efcc
NewsTools,created text for,text for url,for url newsvergecom20191231dprsanctions14fuellgpprovidersinkaduna
Roberto Romero,add required option,required option in,option in modrewrite
Ri Xin Yang,automatically backed up,backed up by,up by learn
Nora_Wang,update and rename,and rename summary,rename summary of
Haibo Chen,miscallenous minor updates,minor updates since,updates since the
Haibo Chen,add a sample,a sample vs,sample vs code
Haibo Chen,move to zsh,to zsh as,zsh as the
Haibo Chen,enabled copying from,copying from remote,from remote tmux
Loren Cipriano,automatically backed up,backed up by,up by learn
pownkel,report test runs,test runs in,runs in health
Maxim Laikine,merge branch master,branch master of,master of githubcommicrosoftaccessibilityinsightsservice
Maxim Laikine,merge branch master,branch master into,master into usersmlaikinesenderdynamic2
Harshith0307,program to reverse,to reverse an,reverse an array
Tegon McCloud,cleanup of chess,of chess class,chess class and
Azure pipeline,test status update,status update for,update for dsbaseclientmaster
Vemahk,menu update updated,update updated to,updated to match
resthiana12,menambahkan nilai default,nilai default untuk,default untuk field
mattdeitke,fix brokenpipeerror caused,brokenpipeerror caused by,caused by ffmpeg
ka9cql,txlog changed nodedetection,changed nodedetection threshold,nodedetection threshold based
Kentaro Fukuchi,added resource template,resource template column,template column and
Cameron Samak,add local bin,local bin to,bin to path
Brent Simmons,write two posts,two posts one,posts one for
NewsTools,created text for,text for url,for url wwwnanngnewsnewyearnigeriansshalltriumphpraystambuwal
Ishan Narula,added section on,section on setting,on setting up
Jake,my project python,project python file,python file this
Marco A Cayetano,automatically backed up,backed up by,up by learn
NewsTools,created text for,text for url,for url wwwnanngnewsjournalistsformigrationappointsofficialssetfornewswebsite
John Leider,feat add material,add material presets,material presets 143
ahoerr2,added poster images,poster images to,images to profiles
NewsTools,created text for,text for url,for url naijanewsagencycombrunofernandesadmitshewantedsummerspursmovefitintoeverythingiwishihad
OPSTestProduction,e2e pr success,pr success test01012020,success test01012020 1249
OPSTestProduction,merge pull request,pull request 17956,request 17956 from
NewsTools,created text for,text for url,for url newsvergecom20191231relocationofmarketumuahiatradersappealtoikpeazuformoretime
sapeled3,add create notification,create notification for,notification for post
Sapele Moses,merge pull request,pull request 14,request 14 from
NewsTools,created text for,text for url,for url naijanewsagencycomtheycanpunishyouartetawarnsarsenalovermanchesterunitedsthreatonthebreak
Angel Fernando Quiroz Campos,lti allow multiple,allow multiple lineitems,multiple lineitems for
duncan ralph,forecasts pushed on,pushed on tue,on tue dec
bpremkumar,merge pull request,pull request 1,request 1 from
NewsTools,created text for,text for url,for url newsvergecom20191231mysteryfireburnspartofpopularkaramarketonnewyearseve
Ri Xin Yang,automatically backed up,backed up by,up by learn
Gary Mann,cleartext password support,password support on,support on linux
NewsTools,created text for,text for url,for url naijanewsagencycom2019personoftheyearafriendofourmind
Gabriel Chen,merge pull request,pull request 3,request 3 from
Ri Xin Yang,automatically backed up,backed up by,up by learn
Reini Urban,dynapi remove unknown,remove unknown tests,unknown tests as
Reini Urban,indxf fix numentriesi,fix numentriesi underflow,numentriesi underflow for
Loreina Chew,add status page,status page text,page text constants
Rohit Garudadri,fixed login button,login button flashing,button flashing 780
RohitGarudadri,merge branch develop,branch develop into,develop into feature200confirmemailflashing
NewsTools,created text for,text for url,for url newsvergecom20191231cibntaskslagosgovtonroadrepairs
Takuya Takeuchi,merge branch featureyolov2,branch featureyolov2 into,featureyolov2 into develop
Takuya Takeuchi,merge branch featuresqueezenetssd,branch featuresqueezenetssd into,featuresqueezenetssd into develop
Takuya Takeuchi,merge branch featuremobilenetssd,branch featuremobilenetssd into,featuremobilenetssd into develop
Takuya Takeuchi,merge branch featuremobilenetv3ssdlite,branch featuremobilenetv3ssdlite into,featuremobilenetv3ssdlite into develop
Takuya Takeuchi,merge branch featurefasterrcnn,branch featurefasterrcnn into,featurefasterrcnn into develop
Takuya Takeuchi,merge branch featurerfcn,branch featurerfcn into,featurerfcn into develop
Takuya Takeuchi,merge branch featureshufflenetv2,branch featureshufflenetv2 into,featureshufflenetv2 into develop
hokage22,editing readme just,readme just adding,just adding in
dependabot-preview[bot],bump webpack from,webpack from 4414,from 4414 to
Leonardo Faria,bump webpack from,webpack from 4414,from 4414 to
NewsTools,created text for,text for url,for url wwwnanngnewskidnapperskill6teenageabducteesaftertheirdemandsweredenied
Asnxthaony,fix 2d preview,2d preview in,preview in player
NewsTools,created text for,text for url,for url newsvergecom20191231nigeriadiasporapolicyunderwaydabirierewa
veganinthestreets,merge pull request,pull request 1,request 1 from
EricDalrymple91,update mushroom jerky,mushroom jerky tableyet,jerky tableyet again
Ken Kundert,run flake8 linter,flake8 linter and,linter and fix
NewsTools,created text for,text for url,for url wwwnanngnewswhywearrestedsenshehusaniefccconfirms
fernandohernandezpaz,cambiando eje de,eje de graficacion,de graficacion para
Jose24San,updated the way,the way history,way history tab
wigforss,mavenreleaseplugin prepare for,prepare for next,for next development
NewsTools,created text for,text for url,for url newsvergecom20191231troopstoenjoyimprovedwelfarepackagein2020buratai
Knut Ahlers,fix totaltransportedweight seems,totaltransportedweight seems to,seems to be
sapeled3,add notification remove,notification remove after,remove after unlike
Sapele Moses,merge pull request,pull request 15,request 15 from
Eugene Koontz,je wrap in,wrap in vector,in vector as
Nick Mitchell,featpluginspluginkubeui kubectl top,kubectl top support,top support fixes
NewsTools,created text for,text for url,for url wwwnanngnewsnewyearomoagegetasksnigerianstobuildbridges
JasonZhou404,planning pass stboundsdeciders,pass stboundsdeciders mappings,stboundsdeciders mappings to
JasonZhou404,planning skip keep,skip keep clear,keep clear logic
JasonZhou404,planning disable checkoverlap,disable checkoverlap in,checkoverlap in dp
JasonZhou404,planning param tunnings,param tunnings for,tunnings for faster
panjiacheng,planning sidepass stop,sidepass stop bug,stop bug fix
panjiacheng,planning set ignore,set ignore decisions,ignore decisions in
panjiacheng,planning trim overtaken,trim overtaken obstacles,overtaken obstacles properly
panjiacheng,planning bug fix,bug fix with,fix with dest
wfgsy101,update the devkit,the devkit directory,devkit directory under
sjiang2018,planning skip pathreuse,skip pathreuse when,pathreuse when not
michael4338,paladin add validations,add validations for,validations for input
michael4338,print error logs,error logs instead,logs instead of
JasonZhou404,planning ignore unknown,ignore unknown and,unknown and keepclear
JasonZhou404,planning bug fix,bug fix on,fix on getunblocksrange
Ri Xin Yang,automatically backed up,backed up by,up by learn
NewsTools,created text for,text for url,for url naijanewsagencycomiwillcertainlystickwithhimchelseabosslamparddefendshudsonodoifromcriticismonsocialmedia
Aaron Roller,master git checkout,git checkout is,checkout is required
michaelfdickey,text entry box,entry box working,box working now
DevTools Bot,update stats via,stats via travis,via travis cron
William Buck,merge pull request,pull request 297,request 297 from
Anthony Holder,automatically backed up,backed up by,up by learn
Diogo Ribeiro,structural upgrades make,upgrades make it,make it easier
jerome-wilson-developer,added gitpages and,gitpages and netlify,and netlify web
albertgoncalves,path only for,only for linux,for linux for
Brokalys bot,monthly price per,price per sqm,per sqm data
Sean DuBois,allow certificate generation,certificate generation bits,generation bits to
chehefen,merge branch master,branch master into,master into felixdev
Daniel Menchaca Luna,se agrega mappeo,agrega mappeo para,mappeo para trabajar
Travis,autosave testing for,testing for ultimate,for ultimate hosts
Cal Stephens,add inflation calculator,inflation calculator blog,calculator blog post
NewsTools,created text for,text for url,for url naijanewsagencycomwatchtiwasavageswildperformanceatthemarliansfest
rajashree,update crb and,crb and rb,and rb if
Prachi Damle,change the etcd,the etcd dir,etcd dir permissions
Denise,merge pull request,pull request 24807,request 24807 from
Nicolas Botello,add a general,a general type,general type for
Nicolas A. Botello Jr,merge pull request,pull request 10,request 10 from
Sonya McCree,project updates 31,updates 31 december,31 december working
NewsTools,created text for,text for url,for url newsvergecom20191231newyearfctministerassuresresidentsofbettersecurityoflivesproperties
NewsTools,created text for,text for url,for url naijanewsagencycomnairamarleyfloatsownrecordlabelsignszinoleeskymohbadcblackfabian
Abd Asis,add background on,background on register,on register form
Zachary Jacobs,automatically backed up,backed up by,up by learn
NewsTools,created text for,text for url,for url naijanewsagencycomprosecutorsseekyearinjailforalgeriasrichestman
NewsTools,created text for,text for url,for url newsvergecom20191231newyearweremaincommittedtostrongerdeltaokowa
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
daneshchacko,create metadata of,metadata of p165,of p165 tanjung
NewsTools,created text for,text for url,for url naijanewsagencycomguardiolaonhowmancitycancatchliverpoolworkharderplaybetterandpray
Paul Brady,make dist directory,dist directory pushable,directory pushable to
NewsTools,created text for,text for url,for url newsvergecom20191231sanwoolusignsn117trn2020budgetintolaw
Robin Giese,gardening make package,make package command,package command names
Robin Giese,improve invalid config,invalid config data,config data debugging
Robin Giese,modify z85 dictionary,z85 dictionary to,dictionary to account
aqi-moscun,update file at,file at 20200101,at 20200101 005154
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
Truong Nguyen`,update data file,data file at,file at 20200101t005156144z
froehlichA,add anonymice and,anonymice and fantasque,and fantasque fonts
jenkins-x-bot,publishing files for,files for path,for path jenkinsxlogscbkubecdbddspring1577839158pr12log
NewsTools,created text for,text for url,for url newsvergecom20191231courtreturnsadokesfiletocjoveralleged12bnmalabuoilscam
OPSTestProduction,delete file xrefprodxrefmaptestbranchliveyml,file xrefprodxrefmaptestbranchliveyml at,xrefprodxrefmaptestbranchliveyml at 20200101
Yaiyan,minor fix to,fix to height,to height of
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
OPSTestProduction,create a file,a file e2edocsbranchproddynamicindexyml,file e2edocsbranchproddynamicindexyml at
Marcos Minond,entry controller does,controller does not,does not depend
Marcos Minond,fixing processor test,processor test helper,test helper module
UdjinM6,wed jan 1,jan 1 004824,1 004824 utc
Harsh Patel,merge remotetracking branch,remotetracking branch refsremotesoriginghpages,branch refsremotesoriginghpages into
hrsh38,merge pull request,pull request 1,request 1 from
Charles E. Thornton,created readme and,readme and license,and license files
Demarius Edwards,automatically backed up,backed up by,up by learn
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
Melanie McGlynn,automatically backed up,backed up by,up by learn
Brayden Marshall,went through entire,through entire vimrc,entire vimrc and
Logan Ralston,highlight link of,link of active,of active page
Demarius Edwards,automatically backed up,backed up by,up by learn
michael sandoval,solved the issue,the issue of,issue of rendering
Travis,autosave testing for,testing for ultimate,for ultimate hosts
Stephan Risi,merge pull request,pull request 59,request 59 from
Stephan Risi,merge branch master,branch master into,master into updatepersonpeopledb
Stephan Risi,fixing up namepreprocessing,up namepreprocessing i,namepreprocessing i know
Stephan Risi,minor fixes to,fixes to make,to make tests
Stephan Risi,merge pull request,pull request 62,request 62 from
Stephan Risi,merge remotetracking branch,remotetracking branch originmaster,branch originmaster into
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
Jinhang's workout chart,rename 2019 workout,2019 workout log,workout log to
nprindle,add mapping in,mapping in nix,in nix files
Demarius Edwards,automatically backed up,backed up by,up by learn
Charles Provencher,dispatchfile initial commit,initial commit with,commit with test
NewsTools,created text for,text for url,for url naijanewsagencycomarikanachihomboriquaoaprofileincourage
Jonathan Boiser,fix afunction commands,afunction commands for,commands for js
t9md,merge pull request,pull request 1134,request 1134 from
Erik Alfvin,responsive header sizes,header sizes for,sizes for mobile
Snoopy Crime Cop,update master submodules,master submodules repository,submodules repository omeomeropythonsuperbuild
Snoopy Crime Cop,merge master dorg,master dorg snone,dorg snone pr
Snoopy Crime Cop,merge master dorg,master dorg snone,dorg snone repository
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly repository
Egor Tensin,support the power,the power operator,power operator it
Egor Tensin,parser make operator,make operator higher,operator higher priority
Egor Tensin,test add more,add more parser,more parser tests
vade,use gt for,gt for strip,for strip logic
vade,use gt to,gt to fix,to fix build
Joel Parker Henderson,reword demo tags,demo tags as,tags as per
Joel Parker Henderson,refactor demo from,demo from attributes,from attributes to
Joel Parker Henderson,add demo capability,demo capability to,capability to change
Joel Parker Henderson,reword demo tags,demo tags as,tags as per
Joel Parker Henderson,refactor demo from,demo from attributes,from attributes to
Joel Parker Henderson,add demo capability,demo capability to,capability to change
Joel Parker Henderson,merge branch tomdemo,branch tomdemo of,tomdemo of githubcomhackforlasharedhousing
tylerthome,merge pull request,pull request 294,request 294 from
tylerthome,merge pull request,pull request 296,request 296 from
Soup-de-Loop,last travis error,travis error missed,error missed a
qronix,refactored login form,login form to,form to register
Demarius Edwards,automatically backed up,backed up by,up by learn
mokumus,happy new year,new year commit,year commit also
Renovate Bot,update dependency findcachedir,dependency findcachedir to,findcachedir to 320
Tiffani,add footer to,footer to art,to art page
Tiffani,add footer to,footer to blog,to blog and
Tiffani Elmore,merge pull request,pull request 5,request 5 from
Vish Potnis,added default flask,default flask env,flask env file
Vish Potnis,update requirementstxt for,requirementstxt for dotenv,for dotenv pkg
Vish Potnis,update gitignore to,gitignore to include,to include vscode
Vish Potnis,added initial dir,initial dir structure,dir structure and
tao.lu,happy new year,new year 2020,year 2020 i
mhandipranata,result image added,image added to,added to readmemd
Sanyam Kapoor,migrate ddpg to,ddpg to new,to new modules
Fitor Bogi Irawan,membuat file test,file test baru,test baru txt
Matthew Mingde Zeng,use documentdocumentelementclientheight to,documentdocumentelementclientheight to scroll,to scroll page
Johan,chore move chord,move chord finder,chord finder result
NewsTools,created text for,text for url,for url naijanewsagencycomminoraiolaaimsincredibledigatmanunitediwouldnttakeanyonetheretheywouldruinmaradonapele
Talon Poole,docsreadme super important,super important final,important final badge
Zachary Jacobs,automatically backed up,backed up by,up by learn
Håvar Henriksen,pontoon update norwegian,update norwegian bokmål,norwegian bokmål nbno
Matthew Mingde Zeng,use documentdocumentelementclientheight to,documentdocumentelementclientheight to scroll,to scroll page
NewsTools,created text for,text for url,for url naijanewsagencycomhappynewyearhowtoachievelifechangingresolutions
serik1987,added loading metadata,loading metadata from,metadata from the
Scott Matsuda,automatically backed up,backed up by,up by learn
Rheinard Korf,fixawsamplifyauth 3855 add,3855 add identitypoolregion,add identitypoolregion to
Aryan J,fixawsamplify delete unused,delete unused amazonaipredictionsprovider,unused amazonaipredictionsprovider import
Praveen Gupta,fixes 4225 decouple,4225 decouple local,decouple local storage
Dustin Noyes,issue4449 4480 switching,4480 switching branches,switching branches changing
Praveen Gupta,merge branch master,branch master into,master into upgradegraphql
Juliano Dorigão,menubg signedoffby juliano,signedoffby juliano dorigão,juliano dorigão jdorigaogmailcom
Sean DuBois,add peerconnectionfunctionalitytestexchangemedia create,peerconnectionfunctionalitytestexchangemedia create two,create two peerconnections
Alex Castells,tasklgtm add static,add static code,static code analyzer
balace ballack,improved server management,server management of,management of gallery
mattdeitke,fix brokenpipeerror caused,brokenpipeerror caused by,caused by ffmpeg
Estefano Salazar,fixed icon name,icon name on,name on appsjson
Amirhossein,merge pull request,pull request 1,request 1 from
q--,svg logo for,logo for red,for red hat
Paul Phan,add pagefly landing,pagefly landing page,landing page builder
Arnaud Ligny,catch cecil version,cecil version 1,version 1 phpoole
Hendrik Söbbing,add detection patterns,detection patterns for,patterns for shopware
q--,update red hat,red hat url,hat url to
q--,detect ez platform,ez platform update,platform update legacy
q--,fix symfony version,symfony version detection,version detection changed
Websale,merge pull request,pull request 1,request 1 from
みかんのめがね,add japanese language,japanese language ive,language ive added
noahfranco,site is mobile,is mobile responsive,mobile responsive and
Devin Halladay,fix issues get,issues get user,get user auth
